datetime,label
202111280230,0
202111280245,0
202111280300,0
202111280315,0
202111280330,0
202111280345,0
202111280400,0
202111280415,0
202111280430,0
202111280445,0
202111280500,0
202111280515,0
202111280530,0
202111280545,0
202111280600,0
202111280615,0
202111280630,0
202111280645,0
202111280700,0
202111280715,0
202111280730,0
202111280745,0
202111280800,0
202111280815,0
202111280830,0
202111280845,0
202111280900,0
202111280915,0
202111280930,0
202111280945,0
202111281000,0
202111281015,0
202111281030,0
202111281045,0
202111281100,0
202111281115,0
202111281130,0
202111281145,0
202111281200,0
202111281215,0
202111281230,0
202111281245,0
202111281300,0
202111281315,0
202111281330,0
202111281345,0
202111281400,0
202111281415,0
202111281430,0
202111281445,0
202111281500,0
202111281515,0
202111281530,0
202111281545,0
202111281600,0
202111281615,0
202111281630,0
202111281645,0
202111281700,0
202111281715,0
202111281730,0
202111281745,0
202111281800,0
202111281815,0
202111281830,0
202111281845,0
202111281900,0
202111281915,0
202111281930,0
202111281945,0
202111282000,0
202111282015,0
202111282030,0
202111282045,0
202111282100,0
202111282115,0
202111282130,0
202111282145,0
202111282200,0
202111282215,0
202111282230,0
202111282245,0
202111282300,0
202111282315,0
202111282330,0
202111282345,0
202111290000,0
202111290015,0
202111290030,0
202111290045,0
202111290100,0
202111290115,0
202111290130,0
202111290145,0
202111290200,0
202111290215,0
202111290230,0
202111290245,0
202111290300,0
202111290315,0
202111290330,0
202111290345,0
202111290400,0
202111290415,0
202111290430,0
202111290445,0
202111290500,0
202111290515,0
202111290530,0
202111290545,0
202111290600,0
202111290615,0
202111290630,0
202111290645,0
202111290700,0
202111290715,0
202111290730,0
202111290745,0
202111290800,0
202111290815,0
202111290830,0
202111290845,0
202111290900,0
202111290915,0
202111290930,0
202111290945,0
202111291000,0
202111291015,0
202111291030,0
202111291045,0
202111291100,0
202111291115,0
202111291130,0
202111291145,0
202111291200,0
202111291215,0
202111291230,0
202111291245,0
202111291300,0
202111291315,0
202111291330,0
202111291345,0
202111291400,0
202111291415,0
202111291430,0
202111291445,0
202111291500,0
202111291515,0
202111291530,0
202111291545,0
202111291600,0
202111291615,0
202111291630,0
202111291645,0
202111291700,0
202111291715,0
202111291730,0
202111291745,0
202111291800,0
202111291815,0
202111291830,0
202111291845,0
202111291900,0
202111291915,0
202111291930,0
202111291945,0
202111292000,0
202111292015,0
202111292030,0
202111292045,0
202111292100,0
202111292115,0
202111292130,0
202111292145,0
202111292200,0
202111292215,0
202111292230,0
202111292245,0
202111292300,0
202111292315,0
202111292330,0
202111292345,0
202111300000,0
202111300015,0
202111300030,0
202111300045,0
202111300100,0
202111300115,0
202111300130,0
202111300145,0
202111300200,0
202111300215,0
202111300230,0
202111300245,0
202111300300,0
202111300315,0
202111300330,0
202111300345,0
202111300400,0
202111300415,0
202111300430,0
202111300445,0
202111300500,0
202111300515,0
202111300530,0
202111300545,0
202111300600,0
202111300615,0
202111300630,0
202111300645,0
202111300700,0
202111300715,0
202111300730,0
202111300745,0
202111300800,0
202111300815,0
202111300830,0
202111300845,0
202111300900,0
202111300915,0
202111300930,0
202111300945,0
202111301000,0
202111301015,0
202111301030,0
202111301045,0
202111301100,0
202111301115,0
202111301130,0
202111301145,0
202111301200,0
202111301215,0
202111301230,0
202111301245,0
202111301300,0
202111301315,0
202111301330,0
202111301345,0
202111301400,0
202111301415,0
202111301430,0
202111301445,0
202111301500,0
202111301515,0
202111301530,0
202111301545,0
202111301600,0
202111301615,0
202111301630,0
202111301645,0
202111301700,1
202111301715,1
202111301730,1
202111301745,1
202111301800,1
202111301815,1
202111301830,1
202111301845,1
202111301900,1
202111301915,1
202111301930,1
202111301945,0
202111302000,0
202111302015,0
202111302030,0
202111302045,0
202111302100,0
202111302115,0
202111302130,0
202111302145,0
202111302200,0
202111302215,0
202111302230,0
202111302245,0
202111302300,0
202111302315,0
202111302330,0
202111302345,0
202112010000,0
202112010015,0
202112010030,0
202112010045,0
202112010100,0
202112010115,0
202112010130,0
202112010145,0
202112010200,0
202112010215,0
202112010230,0
202112010245,0
202112010300,0
202112010315,0
202112010330,0
202112010345,0
202112010400,0
202112010415,0
202112010430,0
202112010445,0
202112010500,0
202112010515,0
202112010530,0
202112010545,0
202112010600,0
202112010615,0
202112010630,0
202112010645,0
202112010700,1
202112010715,1
202112010730,1
202112010745,1
202112010800,1
202112010815,1
202112010830,1
202112010845,1
202112010900,1
202112010915,1
202112010930,1
202112010945,0
202112011000,0
202112011015,0
202112011030,0
202112011045,0
202112011100,0
202112011115,0
202112011130,0
202112011145,0
202112011200,0
202112011215,0
202112011230,0
202112011245,0
202112011300,0
202112011315,0
202112011330,0
202112011345,0
202112011400,0
202112011415,0
202112011430,0
202112011445,0
202112011500,0
202112011515,0
202112011530,0
202112011545,0
202112011600,0
202112011615,0
202112011630,0
202112011645,0
202112011700,0
202112011715,0
202112011730,0
202112011745,0
202112011800,0
202112011815,0
202112011830,0
202112011845,0
202112011900,0
202112011915,0
202112011930,0
202112011945,0
202112012000,0
202112012015,0
202112012030,0
202112012045,0
202112012100,0
202112012115,0
202112012130,0
202112012145,0
202112012200,0
202112012215,0
202112012230,0
202112012245,0
202112012300,0
202112012315,0
202112012330,0
202112012345,0
202112020000,0
202112020015,0
202112020030,0
202112020045,0
202112020100,0
202112020115,0
202112020130,0
202112020145,0
202112020200,0
202112020215,0
202112020230,0
202112020245,0
202112020300,0
202112020315,0
202112020330,0
202112020345,0
202112020400,0
202112020415,0
202112020430,0
202112020445,0
202112020500,0
202112020515,0
202112020530,0
202112020545,0
202112020600,0
202112020615,0
202112020630,0
202112020645,0
202112020700,0
202112020715,0
202112020730,0
202112020745,0
202112020800,0
202112020815,0
202112020830,0
202112020845,0
202112020900,0
202112020915,0
202112020930,0
202112020945,0
202112021000,0
202112021015,0
202112021030,0
202112021045,0
202112021100,0
202112021115,0
202112021130,0
202112021145,0
202112021200,0
202112021215,0
202112021230,0
202112021245,0
202112021300,0
202112021315,0
202112021330,0
202112021345,0
202112021400,0
202112021415,0
202112021430,0
202112021445,0
202112021500,0
202112021515,0
202112021530,0
202112021545,0
202112021600,0
202112021615,0
202112021630,0
202112021645,0
202112021700,0
202112021715,0
202112021730,0
202112021745,0
202112021800,0
202112021815,0
202112021830,0
202112021845,0
202112021900,0
202112021915,0
202112021930,0
202112021945,0
202112022000,0
202112022015,0
202112022030,0
202112022045,0
202112022100,0
202112022115,0
202112022130,0
202112022145,0
202112022200,0
202112022215,0
202112022230,0
202112022245,0
202112022300,0
202112022315,0
202112022330,0
202112022345,0
202112030000,0
202112030015,0
202112030030,0
202112030045,0
202112030100,0
202112030115,0
202112030130,0
202112030145,0
202112030200,0
202112030215,0
202112030230,0
202112030245,0
202112030300,0
202112030315,0
202112030330,0
202112030345,0
202112030400,0
202112030415,0
202112030430,0
202112030445,0
202112030500,0
202112030515,0
202112030530,0
202112030545,0
202112030600,0
202112030615,0
202112030630,0
202112030645,0
202112030700,0
202112030715,0
202112030730,0
202112030745,0
202112030800,0
202112030815,0
202112030830,0
202112030845,0
202112030900,0
202112030915,0
202112030930,0
202112030945,0
202112031000,0
202112031015,0
202112031030,0
202112031045,0
202112031100,0
202112031115,0
202112031130,0
202112031145,0
202112031200,0
202112031215,0
202112031230,0
202112031245,0
202112031300,0
202112031315,0
202112031330,0
202112031345,0
202112031400,0
202112031415,0
202112031430,0
202112031445,0
202112031500,0
202112031515,0
202112031530,0
202112031545,0
202112031600,0
202112031615,0
202112031630,0
202112031645,0
202112031700,0
202112031715,0
202112031730,0
202112031745,0
202112031800,0
202112031815,0
202112031830,0
202112031845,0
202112031900,0
202112031915,0
202112031930,0
202112031945,0
202112032000,0
202112032015,0
202112032030,0
202112032045,0
202112032100,0
202112032115,0
202112032130,0
202112032145,0
202112032200,0
202112032215,0
202112032230,0
202112032245,0
202112032300,0
202112032315,0
202112032330,0
202112032345,0
202112040000,0
202112040015,0
202112040030,0
202112040045,0
202112040100,0
202112040115,0
202112040130,0
202112040145,0
202112040200,0
202112040215,0
202112040230,0
202112040245,0
202112040300,0
202112040315,0
202112040330,0
202112040345,0
202112040400,0
202112040415,0
202112040430,0
202112040445,0
202112040500,0
202112040515,0
202112040530,0
202112040545,0
202112040600,0
202112040615,0
202112040630,0
202112040645,0
202112040700,0
202112040715,0
202112040730,0
202112040745,0
202112040800,0
202112040815,0
202112040830,0
202112040845,0
202112040900,0
202112040915,0
202112040930,0
202112040945,0
202112041000,0
202112041015,0
202112041030,0
202112041045,0
202112041100,0
202112041115,0
202112041130,0
202112041145,0
202112041200,0
202112041215,0
202112041230,0
202112041245,0
202112041300,0
202112041315,0
202112041330,0
202112041345,0
202112041400,0
202112041415,0
202112041430,0
202112041445,0
202112041500,0
202112041515,0
202112041530,0
202112041545,0
202112041600,0
202112041615,0
202112041630,0
202112041645,0
202112041700,0
202112041715,0
202112041730,0
